Component ID,Hardware Set,Component,Item (from Component),Type,Component Cost,Quantity,Item Total Price,Hardware Sets,Hardware Staging,Components copy,Hardware Items
"""Hardware: Hager, Closer, 5200, US26D""",Home 2 Suites & Tru by Hilton_VA 24201 - Set 1,"""Hardware: Hager, Closer, 5200, US26D""",5200,Closer,$51.67,1,$51.67,,,"""Hardware: Hager, Closer, 5200, US26D""",
"""Hardware: Rockwood, Viewer, 627""",Home 2 Suites & Tru by Hilton_VA 24201 - Set 1,"""Hardware: Rockwood, Viewer, 627""",627,Viewer,$7.00,1,$7.00,,,"""Hardware: Rockwood, Viewer, 627""",
"""Hardware: Pemko, Latch, PDLAA10BE, Satin Bronze""",Home 2 Suites & Tru by Hilton_VA 24201 - Set 1,"""Hardware: Pemko, Latch, PDLAA10BE, Satin Bronze""",PDLAA10BE,Latch,,1,$0.00,,,"""Hardware: Pemko, Latch, PDLAA10BE, Satin Bronze""",
"""Hardware: Pemko, Smoke Seals, S773BL17, Black""",Home 2 Suites & Tru by Hilton_VA 24201 - Set 1,"""Hardware: Pemko, Smoke Seals, S773BL17, Black""",S773BL17,Smoke Seals,,1,$0.00,,,"""Hardware: Pemko, Smoke Seals, S773BL17, Black""",
"""Hardware: Pemko, Door Bottom, 2173DV""",Home 2 Suites & Tru by Hilton_VA 24201 - Set 1,"""Hardware: Pemko, Door Bottom, 2173DV""",2173DV,Door Bottom,$24.00,1,$24.00,,,"""Hardware: Pemko, Door Bottom, 2173DV""",
"""Hardware: Pemko, Threshold, EV2325""",Home 2 Suites & Tru by Hilton_VA 24201 - Set 1,"""Hardware: Pemko, Threshold, EV2325""",EV2325,Threshold,$25.00,1,$25.00,,,"""Hardware: Pemko, Threshold, EV2325""",
"""Hardware: Hager, Wall Stop, 232W, US26D""",Home 2 Suites & Tru by Hilton_VA 24201 - Set 1,"""Hardware: Hager, Wall Stop, 232W, US26D""",232W,Wall Stop,$1.00,1,$1.00,,,"""Hardware: Hager, Wall Stop, 232W, US26D""",
"""Door: Solid Core Wood, Pre-Painted""",Home 2 Suites & Tru by Hilton_VA 24201 - Set 2,"""Door: Solid Core Wood, Pre-Painted""",,,,1,$0.00,,,"""Door: Solid Core Wood, Flush, Pre-Painted""",
"""Hardware: Hager, Door Pull, 34J 4x16, US32D""",Home 2 Suites & Tru by Hilton_VA 24201 - Set 2,"""Hardware: Hager, Door Pull, 34J 4x16, US32D""",34J 4x16,Door Pull,,1,$0.00,,,"""Hardware: Hager, Door Pull, 34J 4x16, US32D""",
"""Frame: Hollow Metal, Cased Welded, (18 Gauge)""",Home 2 Suites & Tru by Hilton_VA 24201 - Set 2,"""Frame: Hollow Metal, Cased Welded, (18 Gauge)""",,,,2,$0.00,,,"""Frame: Hollow Metal, Cased Welded, (18 Gauge)""",
"""Door: Solid Core Wood, Veneer""",Home 2 Suites & Tru by Hilton_VA 24201 - Set 2,"""Door: Solid Core Wood, Veneer""",,,,2,$0.00,,,"""Door: Solid Core Wood, Flush, Veneer""",
"""Hardware: Hager, Door Pull, 34J 4x16, US4""",Project A _Brooklyn NY  - 50,"""Hardware: Hager, Door Pull, 34J 4x16, US4""",34J 4x16,Door Pull,,2,$0.00,,,"""Hardware: Hager, Door Pull, 34J 4x16, US4""",
"""Hardware: Hager, Door Push/Pull, 13J, US32D"", ""Hardware: Hager, Door Pull, 34J 4x16, US26D""",Project A _Brooklyn NY  - 50,"""Hardware: Hager, Door Push/Pull, 13J, US32D"",""Hardware: Hager, Door Pull, 34J 4x16, US26D""","13J, 34J 4x16","Door Push/Pull,Door Pull",,2,$0.00,,,"""Hardware: Hager, Door Pull, 34J 4x16, US26D"",""Hardware: Hager, Door Push/Pull, 13J, US32D""",
"""Hardware: Hager, Door Push/Pull, 13J, US32D"", ""Hardware: Hager, Hinges, ECBB1100 4.5x4.5, US26""",Project A _Brooklyn NY  - 56,"""Hardware: Hager, Door Push/Pull, 13J, US32D"",""Hardware: Hager, Hinges, ECBB1100 4.5x4.5, US26""","13J, ECBB1100 4.5x4.5","Door Push/Pull,Hinges",,2,$0.00,,,"""Hardware: Hager, Hinges, ECBB1100 4.5x4.5, US26"",""Hardware: Hager, Door Push/Pull, 13J, US32D""",
"""Door: Solid Core Wood, Veneer""",Project A _Brooklyn NY  - 57,"""Door: Solid Core Wood, Veneer""",,,,1,$0.00,,,"""Door: Solid Core Wood, Flush, Veneer""",
"""Door: Solid Core Wood, Pre-Painted""",Project A _Brooklyn NY  - 57,"""Door: Solid Core Wood, Pre-Painted""",,,,3,$0.00,,,"""Door: Solid Core Wood, Flush, Pre-Painted""",
"""Hardware: Hager, Closer, 5100 PAR ADJ 1-6 ALM HDCS BF, ALM""",Script Test_Brooklyn NY - ,"""Hardware: Hager, Closer, 5100 PAR ADJ 1-6 ALM HDCS BF, ALM""",5100 PAR ADJ 1-6 ALM HDCS BF,Closer,,2,$0.00,,,"""Hardware: Hager, Closer, 5100 PAR ADJ 1-6 ALM HDCS BF, ALM""",
