Component ID,Category,Brand,Type,Item,Finish,Description,Link to Item URL,Photos,Base Price,Quote Line Items,Openings H,Hardware Set Items,Price Overrides,Override Price (from Price Overrides),Markup Settings,Component Summary,C_Record_ID,Openings,Table 17,Openings 2,Openings 3,Auto Number,Hardware Set Items copy,Hardware Staging
"Cal Royal, Hinges, RH-35, US15",,Cal Royal,Hinges,RH-35,US15,Hinge - 3.5 x 3.5 RC,,,$3.00,,,,,,,,recbyRnrYskl88PyW,,,,,959,,
"Hager, Hinges, 1541 3-1/2"" x 3-1/2"", US15",,Hager,Hinges,"1541 3-1/2"" x 3-1/2""",US15,Hinge - Non-Standard,,,$12.60,,,,,,,,rec3hMVdrv4ovxOWX,,,,,962,,
"Hager, Hinges, 1279 3-1/2"" x 3-1/2"", US15",,Hager,Hinges,"1279 3-1/2"" x 3-1/2""",US15,Hinge - Non-Standard,,,$14.80,,,,,,,,recQIZ3MEzYZUGcUh,,,,,960,,
"Hager, Hinges, 1279 3-1/2"" x 3-1/2"" x RC 5/8, US15",,Hager,Hinges,"1279 3-1/2"" x 3-1/2"" x RC 5/8",US15,Hinge - Non-Standard,,,$29.94,,,,,,,,rectS87cKq9MPno9W,,,,,961,,
"Cal Royal, Hinges, BBRH35, US15",,Cal Royal,Hinges,BBRH35,US15,Hinge - Non-Standard,,,$3.37,,,,,,,,recIIDygr5dJktIgv,,,,,963,,
"Cal Royal, Hinges, RH-35, US15",,Cal Royal,Hinges,RH-35,US15,Hinge - Non-Standard,,,$3.00,,,,,,,,recRJVOHIOKVbZ5aH,,,,,964,,
"Cal Royal, Hinges, HP95, US15",,Cal Royal,Hinges,HP95,US15,Hinge Pin Stop,,,$1.46,,,,,,,,receOIs9HIXrmE1kZ,,,,,965,,
"Cal Royal, Hinges, JHP11, US15",,Cal Royal,Hinges,JHP11,US15,Hinge Pin Stop,,,$1.50,,,,,,,,recgqJ7bNFQyMEQhx,,,,,966,,
"Johnson, Unspecified, 1521, US15",,Johnson,Unspecified,1521,US15,Misc,,,$31.13,,,,,,,,reccZdV4Ju8TEZ6OZ,,,,,967,,
"Sargent, Unspecified, DLU15 x E2MD, US15",,Sargent,Unspecified,DLU15 x E2MD,US15,Passage Set (no thru-bolts),,,$314.00,,,,,,,,recPH100jgDTO0cak,,,,,968,,
"Cal Royal, Unspecified, SG-20 x ULSLD234 x ASA, US15",,Cal Royal,Unspecified,SG-20 x ULSLD234 x ASA,US15,Privacy Set (no thru-bolts),,,$61.95,,,,,,,,rec7Ib3dZnk9tH1DG,,,,,969,,
"Sargent, Unspecified, DLU65 x E2MD, US15",,Sargent,Unspecified,DLU65 x E2MD,US15,Privacy Set (no thru-bolts),,,$333.00,,,,,,,,recuEjzK8GbQfrIxe,,,,,970,,
"Cal Royal, Latch, 18SDLR, US15",,Cal Royal,Latch,18SDLR,US15,Sliding Door Lock/Latch,,,$39.75,,,,,,,,rec7M90XXRlWaZRnY,,,,,971,,
"Cal Royal, Unspecified, SCSBDH3166, US15",,Cal Royal,Unspecified,SCSBDH3166,US15,Sliding Door Track/Hanger,,,$354.38,,,,,,,,rec6kRlUQ91w3N5QE,,,,,972,,
"Cal Royal, Unspecified, SCSBDH3180, US15",,Cal Royal,Unspecified,SCSBDH3180,US15,Sliding Door Track/Hanger,,,$388.63,,,,,,,,rec6cUPuJS5MqBHM2,,,,,973,,
"Cal Royal, Unspecified, SCSBDH3066, US15",,Cal Royal,Unspecified,SCSBDH3066,US15,Sliding Door Track/Hanger,,,$398.68,,,,,,,,recoI7EWu9zsScs17,,,,,974,,
"Hager, Hinges, EC1105 4 1/2"" x 4 1/2"", US15",,Hager,Hinges,"EC1105 4 1/2"" x 4 1/2""",US15,Spring Hinge 4-1/2 Std Wt).134),,,$59.07,,,,,,,,recA49FeOSlkFDsvT,,,,,975,,
"Cal Royal, Hinges, NEWSH-140 4-1/2"" x 4-1/2"", US15",,Cal Royal,Hinges,"NEWSH-140 4-1/2"" x 4-1/2""",US15,Spring Hinge 4-1/2 Std Wt).134),,,$22.31,,,,,,,,rec352hWmvTVY5A6b,,,,,976,,
"Cal Royal, Unspecified, SB8712, US15",,Cal Royal,Unspecified,SB8712,US15,Surface Bolt - Frame Face Mount,,,$25.99,,,,,,,,recXLstxHnHVD7yWa,,,,,977,,
"Rockwood, Stop, RM867, US15",,Rockwood,Stop,RM867,US15,Wall Stop,,,$65.00,,,,,,,,rec7f6tNwwJQqfCH2,,,,,978,,
"Cal Royal, Stop, SWB, US15",,Cal Royal,Stop,SWB,US15,Wall Stop,,,$4.37,,,,,,,,recHIgM6jSTcHegGk,,,,,979,,
"Hager, Stop, 232W, US15",,Hager,Stop,232W,US15,"Wall Stop, Convex",,,$10.00,,,,,,,,recWg1RTF96pqlfzx,,,,,980,,
"Hager, Stop, 236W, US15",,Hager,Stop,236W,US15,"Wall Stop, Convex",,,$9.95,,,,,,,,recut3gKTlRk5jrU0,,,,,981,,
"Hager, Stop, 255S, US15",,Hager,Stop,255S,US15,"Wall Stop, Convex",,,$36.35,,,,,,,,recjkU5Lz0gvBwABR,,,,,982,,
"Rockwood, Stop, RM867, US15",,Rockwood,Stop,RM867,US15,"Wall Stop, Convex",,,$50.00,,,,,,,,recXg36XTlaHjWgcr,,,,,983,,
"Hardware: Hager, Trim & Auxiliary, 321R, US15",Hardware,Hager,Trim & Auxiliary,321R,US15,Hager 321R Adjustable Ball Catch with Strike,,,,,,,,,,,recbLOCPUIdNuwx7T,,,,,984,,
"Hager, Unspecified, 318D, US19",,Hager,Unspecified,318D,US19,Catch - Roller,,,$43.73,,,,,,,,recnrPxPVjdJo7hfF,,,,,985,,
"Cal Royal, Viewer, ULDV200, US19",,Cal Royal,Viewer,ULDV200,US19,Door Viewer,,,$10.03,,,,,,,,rec4gYqOOa70kUf1e,,,,,986,,
"Cal Royal, Viewer, PRIULDV200, US19",,Cal Royal,Viewer,PRIULDV200,US19,Door Viewer,,,$14.19,,,,,,,,recXpdzWCF5m8I1KZ,,,,,987,,
"Hager, Strike, 280X, US19",,Hager,Strike,280X,US19,Dust Proof Strike,,,$26.63,,,,,,,,reckfPeNZLVAeWSLQ,,,,,988,,
"Von Duprin, Exit Device, 996L-BE(#17) x R&V, US19",,Von Duprin,Exit Device,996L-BE(#17) x R&V,US19,Exit Device Trim Only,,,$828.00,,,,,,,,recKUeqXFSPnKb9Ml,,,,,989,,
"Hager, Stop, 241F, US19",,Hager,Stop,241F,US19,Floor Stop,,,$8.50,,,,,,,,recxKQu4clcofuh0v,,,,,990,,
"Hager, Stop, 252F, US19",,Hager,Stop,252F,US19,"Floor Stop, Low Dome",,,$28.44,,,,,,,,recF5QanM3wGvlYSM,,,,,991,,
"Hager, Stop, 243F, US19",,Hager,Stop,243F,US19,"Floor Stop, Low Dome",,,$9.85,,,,,,,,rec4RwhvCxk5rNdqI,,,,,992,,
"Hager, Flush Bolt, 283D, US19",,Hager,Flush Bolt,283D,US19,"Flush Bolt, Corner, Manual",,,$39.56,,,,,,,,recHnJy5eB7XCmkzk,,,,,993,,
"Hager, Flush Bolt, 282D x 282R-18"", US19",,Hager,Flush Bolt,"282D x 282R-18""",US19,"Flush Bolt, Extension, Manual",,,$29.29,,,,,,,,recYN9FvSJIqQWqLA,,,,,994,,
"Hager, Flush Bolt, 282D, US19",,Hager,Flush Bolt,282D,US19,"Flush Bolt, Extension, Manual",,,$26.29,,,,,,,,recfwONEVEARBz0QS,,,,,995,,
"Hager, Holder, 270D, US19",,Hager,Holder,270D,US19,Kickdown Holder,,,$33.86,,,,,,,,recAVwbp2Vw9ECOLP,,,,,996,,
"Hager, Unspecified, 190S x B4E x 8""h, US19",,Hager,Unspecified,"190S x B4E x 8""h",US19,Kickplate,,,$64.49,,,,,,,,recx1ODXtDFCfHSEC,,,,,997,,
"Hager, Unspecified, 190S x B4E x 18"" x 34"", US19",,Hager,Unspecified,"190S x B4E x 18"" x 34""",US19,Kickplate,,,$145.11,,,,,,,,recOJ4CRkzeYJmLYt,,,,,998,,
"Hager, Unspecified, 190S x B4E x 10""h(34""w), US19",,Hager,Unspecified,"190S x B4E x 10""h(34""w)",US19,Kickplate,,,$123.93,,,,,,,,recKVWYY0fMOWea4J,,,,,999,,
"Hager, Unspecified, 190S x B4E x 10""h(2""LWOD), US19",,Hager,Unspecified,"190S x B4E x 10""h(2""LWOD)",US19,Kickplate,,,$211.14,,,,,,,,recfSaFIm89iYA4p7,,,,,1000,,
"Hager, Unspecified, 190S x B4E x 10"" x 34"", US19",,Hager,Unspecified,"190S x B4E x 10"" x 34""",US19,Kickplate,,,$80.61,,,,,,,,recD0AYDO1sQnxWww,,,,,1001,,
"Hager, Pull, 31J 4"" x 16"", US19",,Hager,Pull,"31J 4"" x 16""",US19,Pull Plate,,,$163.29,,,,,,,,recTAWYRMBXRk3SSp,,,,,1002,,
"Hager, Pull, 34G 4"" x 16"", US19",,Hager,Pull,"34G 4"" x 16""",US19,Pull Plate,,,$184.63,,,,,,,,recxI37sax85APoDh,,,,,1003,,
"Falcon, Exit Device, F-25-R-L x 510L x DANE(US19) x 3’-0"" Device x 299F x SNB(18""w), US19",,Falcon,Exit Device,"F-25-R-L x 510L x DANE(US19) x 3’-0"" Device x 299F x SNB(18""w)",US19,"Push Pad, Rim",,,$1763.00,,,,,,,,recQDLYUc6ZqxSaKi,,,,,1004,,
"Falcon, Exit Device, F-25-R-L x 510L x DANE(US19) x 3’-0"" Device x 299F x SNB(48""w), US19",,Falcon,Exit Device,"F-25-R-L x 510L x DANE(US19) x 3’-0"" Device x 299F x SNB(48""w)",US19,"Push Pad, Rim",,,$1763.00,,,,,,,,recigJYrnaMOO8dag,,,,,1006,,
"Falcon, Exit Device, F-25-R-L x 510L x DANE(US19) x 3’-0"" Device x 299F x SNB(36""w), US19",,Falcon,Exit Device,"F-25-R-L x 510L x DANE(US19) x 3’-0"" Device x 299F x SNB(36""w)",US19,"Push Pad, Rim",,,$1763.00,,,,,,,,recqNj97svYmitmFn,,,,,1005,,
"Hager, Push Plate, 30S x 4"" x 16"", US19",,Hager,Push Plate,"30S x 4"" x 16""",US19,Push Plate,,,$46.79,,,,,,,,recBKxxj5MioW4GJt,,,,,1007,,
"Hager, Stop, 232W, US19",,Hager,Stop,232W,US19,Wall Stop,,,$5.12,,,,,,,,recAZN18JfqAQEvgI,,,,,1009,,
"Hager, Stop, 236W, US19",,Hager,Stop,236W,US19,Wall Stop,,,$5.12,,,,,,,,recY8647iUrZxsmRI,,,,,1008,,
"Hager, Stop, 234W, US19",,Hager,Stop,234W,US19,"Wall Stop, Convex",,,$15.30,,,,,,,,rec1nWGu6tEUEjeAl,,,,,1011,,
"Hager, Stop, 236W, US19",,Hager,Stop,236W,US19,"Wall Stop, Convex",,,$4.92,,,,,,,,recW3xkTI0XgsDUt7,,,,,1010,,
"Hager, Stop, 232W, US19",,Hager,Stop,232W,US19,"Wall Stop, Convex",,,$4.92,,,,,,,,recgOhiotp5YS9HNB,,,,,1012,,
"Cal Royal, Stop, WB26, US19",,Cal Royal,Stop,WB26,US19,"Wall Stop, Convex",,,$3.64,,,,,,,,rec5Nm9FrHgOGiRC8,,,,,1013,,
"Hardware: Hager, Flush Bolt, 282D, US19",Hardware,Hager,Flush Bolt,282D,US19,Hager 282D Manual Flush Bolt for Metal Doors,,,,,,,,,,,recAm93WV96XiMbmK,,,,,1014,,
"Hager, Hinges, BB1168 4-1/2"" x 4-1/2"", US26",,Hager,Hinges,"BB1168 4-1/2"" x 4-1/2""",US26,4-1/2 Hvy Wt(.180) Hinge,,,$69.05,,,,,,,,reclzazgViexGSgFP,,,,,1015,,
"Hager, Hinges, ECBB1100 4 1/2"" x 4 1/2"", US26",,Hager,Hinges,"ECBB1100 4 1/2"" x 4 1/2""",US26,4-1/2 Std Wt(.134) Hinge,,,$35.17,,,,,,,,rec2oGbMbGbsgoAQB,,,,,1016,,
"Hager, Hinges, BB1279 4-1/2"" x 4-1/2"", US26",,Hager,Hinges,"BB1279 4-1/2"" x 4-1/2""",US26,4-1/2 Std Wt(.134) Hinge,,,$39.19,,,,,,,,recPSFDb2NjEGo9gB,,,,,1017,,
"Hager, Hinges, 920 4-1/2"" x 4-1/2"", US26",,Hager,Hinges,"920 4-1/2"" x 4-1/2""",US26,4-1/2 Std Wt(.134) Hinge,,,$31.50,,,,,,,,recSstUDb22nrVC1V,,,,,1018,,
"Cal Royal, Hinges, BB-31 4-1/2"" x 4-1/2"", US26",,Cal Royal,Hinges,"BB-31 4-1/2"" x 4-1/2""",US26,4-1/2 Std Wt(.134) Hinge,,,$13.25,,,,,,,,rec1wTXpHpAOhQW07,,,,,1020,,
"Cal Royal, Hinges, BB14031 4-1/2"" x 4-1/2"", US26",,Cal Royal,Hinges,"BB14031 4-1/2"" x 4-1/2""",US26,4-1/2 Std Wt(.134) Hinge,,,$51.01,,,,,,,,recHrk4KHf4RIgjjg,,,,,1019,,
"Hager, Stop, 210, US26",,Hager,Stop,210,US26,Baseboard Stop,,,$1.70,,,,,,,,recRvAFHa3BP3B5UL,,,,,1021,,
"Rockwood, Stop, RM871, US26",,Rockwood,Stop,RM871,US26,Baseboard Stop,,,$44.00,,,,,,,,recN2buK6CrtRkyNO,,,,,1022,,
"Cal Royal, Stop, SBRS4, US26",,Cal Royal,Stop,SBRS4,US26,Baseboard Stop,,,$10.20,,,,,,,,recNbPHqGOQ8E1RXg,,,,,1023,,
"Hager, Latch, 1446, US26",,Hager,Latch,1446,US26,Catch - Ball,,,$1.54,,,,,,,,recLRXBBsVCqZ8Qhu,,,,,1024,,
"Hager, Unspecified, 318D, US26",,Hager,Unspecified,318D,US26,Catch - Roller,,,$42.97,,,,,,,,recAwbPQ8nLqwqE29,,,,,1025,,
"Rockwood, Unspecified, 591, US26",,Rockwood,Unspecified,591,US26,Catch - Roller,,,$57.00,,,,,,,,recegOZ98fa3dwBA4,,,,,1026,,
"Rockwood, Unspecified, 592, US26",,Rockwood,Unspecified,592,US26,Catch - Roller,,,$43.30,,,,,,,,recj2sAMhdYHRj6de,,,,,1027,,
"Sargent, Holder, 1538S, US26",,Sargent,Holder,1538S,US26,"Concealed Overhead Holder, Std Duty",,,$426.00,,,,,,,,reco59ITRLbIxXwqn,,,,,1028,,
"Sargent, Holder, 1538S(36""w), US26",,Sargent,Holder,"1538S(36""w)",US26,"Concealed Overhead Holder, Std Duty",,,$426.00,,,,,,,,recp2TiOH4q0noDmP,,,,,1029,,
"Cal Royal, Levers, SG-50 x ULSLD234 x ASA, US26",,Cal Royal,Levers,SG-50 x ULSLD234 x ASA,US26,Cylindrical Exit Lever,,,$76.01,,,,,,,,recDs9l2S0yMrThIU,,,,,1030,,
"Cal Royal, Unspecified, SG-50 x ULSLD234 x ASA, US26",,Cal Royal,Unspecified,SG-50 x ULSLD234 x ASA,US26,Cylindrical Knob,,,$76.01,,,,,,,,recyGvq8y2MrWR3xv,,,,,1031,,
"Sargent, Unspecified, 28-7G15-3 x LB, US26",,Sargent,Unspecified,28-7G15-3 x LB,US26,Cylindrical Knob,,,$343.00,,,,,,,,recPATthbkVgrAt7N,,,,,1032,,
"Cal Royal, Levers, AG20 x ULSLD234 x ASA, US26",,Cal Royal,Levers,AG20 x ULSLD234 x ASA,US26,Cylindrical Lever,,,$99.23,,,,,,,,rec2WoysHjnWdQ7aG,,,,,1035,,
"Cal Royal, Levers, AG05 x ULSLD234 x ASA, US26",,Cal Royal,Levers,AG05 x ULSLD234 x ASA,US26,Cylindrical Lever,,,$103.22,,,,,,,,recEWJMyTgvOnzgec,,,,,1033,,
"Cal Royal, Levers, AG50 x ULSLD234 x ASA, US26",,Cal Royal,Levers,AG50 x ULSLD234 x ASA,US26,Cylindrical Lever,,,$84.35,,,,,,,,recMW517xsp1COCTg,,,,,1034,,
"Cal Royal, Levers, AG00 x ULSLD234 x ASA, US26",,Cal Royal,Levers,AG00 x ULSLD234 x ASA,US26,Cylindrical Lever,,,$103.22,,,,,,,,reciTJQJz4KFg8LUZ,,,,,1036,,
"Cal Royal, Levers, SL00 x ULSLD234 x ASA, US26",,Cal Royal,Levers,SL00 x ULSLD234 x ASA,US26,Cylindrical Lever,,,$37.58,,,,,,,,recPL6x19NUE0VXtM,,,,,1037,,
"Sargent, Levers, 28-65G04 x KP x KD, US26",,Sargent,Levers,28-65G04 x KP x KD,US26,Cylindrical Lever,,,$407.00,,,,,,,,recU0bCBbu6uEjYLq,,,,,1038,,
"Sargent, Levers, 65G15-3 x KP, US26",,Sargent,Levers,65G15-3 x KP,US26,Cylindrical Lever,,,$321.00,,,,,,,,recRX0GbKKMnt4mj7,,,,,1039,,
"Sargent, Levers, 28-65G37 x KP x KD, US26",,Sargent,Levers,28-65G37 x KP x KD,US26,Cylindrical Lever,,,$407.00,,,,,,,,recsPAe1kP6MG1ZWc,,,,,1040,,
"Cal Royal, Levers, SG-20 x ULSLD234 x ASA, US26",,Cal Royal,Levers,SG-20 x ULSLD234 x ASA,US26,Cylindrical Privacy Lever,,,$77.57,,,,,,,,recpPE1wpjv4ZPiXc,,,,,1041,,
"Cal Royal, Locks, ID-60, US26",,Cal Royal,Locks,ID-60,US26,"Deadlock, Grade 1, Tubular",,,$30.24,,,,,,,,recMblGy8nJ3uuMM3,,,,,1042,,
"Sargent, Locks, 489, US26",,Sargent,Locks,489,US26,"Deadlock, Grade 1, Tubular",,,$247.00,,,,,,,,recBM3b1lgZnh3leg,,,,,1043,,
"Sargent, Locks, V54-468, US26",,Sargent,Locks,V54-468,US26,"Deadlock, Grade 1, Tubular",,,$131.00,,,,,,,,rec09twpJ9Q6YwQj1,,,,,1044,,
"Hager, Locks, 3830S x 3985 x KD, US26",,Hager,Locks,3830S x 3985 x KD,US26,"Deadlock, Mortise",,,$234.35,,,,,,,,reccwecXPMYUBGOgd,,,,,1045,,
"Hager, Door Guard, 277D, US26",,Hager,Door Guard,277D,US26,Door Guard,,,$31.85,,,,,,,,rec4elUDcVE4URR10,,,,,1047,,
"Hager, Door Guard, 274D, US26",,Hager,Door Guard,274D,US26,Door Guard,,,$43.10,,,,,,,,recUMDxQSb23viccl,,,,,1046,,
"Pemko, Door Guard, PDL26, US26",,Pemko,Door Guard,PDL26,US26,Door Guard,,,$36.80,,,,,,,,recwprxBfOa5xDp3B,,,,,1048,,
"Rockwood, Door Guard, 605, US26",,Rockwood,Door Guard,605,US26,Door Guard,,,$8.60,,,,,,,,recoaRs9ccHXfPRKb,,,,,1050,,
"Rockwood, Door Guard, 604, US26",,Rockwood,Door Guard,604,US26,Door Guard,,,$31.80,,,,,,,,recoqoSBMxKPZyyK9,,,,,1049,,
"Hager, Viewer, 1756, US26",,Hager,Viewer,1756,US26,Door Viewer,,,$12.90,,,,,,,,recqxZN1NEH7q0LXZ,,,,,1051,,
"Cal Royal, Viewer, PRIULDV200, US26",,Cal Royal,Viewer,PRIULDV200,US26,Door Viewer,,,$14.19,,,,,,,,recq9qYgqxWNwJmvd,,,,,1052,,
"Cal Royal, Unspecified, AG40 x ASA, US26",,Cal Royal,Unspecified,AG40 x ASA,US26,Dummy Trim - Single,,,$39.04,,,,,,,,recaPgq4jfFyDri0A,,,,,1053,,
"Hager, Strike, 280X, US26",,Hager,Strike,280X,US26,Dust Proof Strike,,,$20.70,,,,,,,,recsxaUmDYegBSJNp,,,,,1054,,
"Hager, Exit Device, 45CE x AUG, US26",,Hager,Exit Device,45CE x AUG,US26,Exit Device Trim Only,,,$524.10,,,,,,,,recMYwjSgWjSREBtx,,,,,1055,,
"Hager, Exit Device, 45BE x AUG, US26",,Hager,Exit Device,45BE x AUG,US26,Exit Device Trim Only,,,$524.10,,,,,,,,recgNFGcAar5RA00V,,,,,1056,,
"Hager, Exit Device, 45NL x AUG, US26",,Hager,Exit Device,45NL x AUG,US26,Exit Device Trim Only,,,$524.10,,,,,,,,recoExwPLM2i8Uc74,,,,,1057,,
"Rockwood, Stop, 441, US26",,Rockwood,Stop,441,US26,Floor Stop,,,$8.40,,,,,,,,recWR3eWb0zwb66Ci,,,,,1058,,
"Rockwood, Stop, 446, US26",,Rockwood,Stop,446,US26,Floor Stop,,,$34.00,,,,,,,,recFgQqB5f0BDv1rT,,,,,1060,,
"Rockwood, Stop, 441CU, US26",,Rockwood,Stop,441CU,US26,Floor Stop,,,$11.90,,,,,,,,recsXxq6X0oNpCraN,,,,,1059,,
"Hager, Holder, 326F, US26",,Hager,Holder,326F,US26,Floor Stop & Holder,,,$79.15,,,,,,,,recDFkQqlcOFieSSR,,,,,1061,,
"Hager, Stop, 209, US26",,Hager,Stop,209,US26,"Floor Stop, Low Dome",,,$1.15,,,,,,,,recncdMgOCyKf9MfS,,,,,1062,,
"Hager, Stop, 252F, US26",,Hager,Stop,252F,US26,"Floor Stop, Low Dome",,,$30.35,,,,,,,,recMZ4zdOEfDqu0Y2,,,,,1063,,
"Rockwood, Stop, 446, US26",,Rockwood,Stop,446,US26,"Floor Stop, Low Dome",,,$32.00,,,,,,,,rec9KCLj3Ag16UYSp,,,,,1064,,
"Cal Royal, Stop, EUS-09, US26",,Cal Royal,Stop,EUS-09,US26,"Floor Stop, Low Dome",,,$18.56,,,,,,,,recn5rw3L8hu2y6LZ,,,,,1065,,
"Hager, Flush Bolt, 282D, US26",,Hager,Flush Bolt,282D,US26,"Flush Bolt, Extension, Manual",,,$23.10,,,,,,,,rec47XRfl97heWpmm,,,,,1066,,
"Rockwood, Flush Bolt, 555, US26",,Rockwood,Flush Bolt,555,US26,"Flush Bolt, Extension, Manual",,,$25.50,,,,,,,,recSEJFMtC2jdRSlu,,,,,1067,,
"Rockwood, Flush Bolt, 555 x 24 inches, US26",,Rockwood,Flush Bolt,555 x 24 inches,US26,"Flush Bolt, Extension, Manual",,,$68.80,,,,,,,,recg3iMZ2q8RHE2QV,,,,,1068,,
"Rockwood, Flush Pull, 95A, US26",,Rockwood,Flush Pull,95A,US26,Flush Pull,,,$50.00,,,,,,,,recbBpTJ3Q5urilny,,,,,1069,,
"Hager, Levers, 3550 x AUGUST x 3948, SC x 3935 x KD, US26",,Hager,Levers,"3550 x AUGUST x 3948, SC x 3935 x KD",US26,Grade 1 Cylindrical Lever,,,$205.45,,,,,,,,recJ85pIp318vhtTV,,,,,1070,,
"Hager, Levers, 3570 x AUGUST x 3948, SC x 3935 x KD, US26",,Hager,Levers,"3570 x AUGUST x 3948, SC x 3935 x KD",US26,Grade 1 Cylindrical Lever,,,$205.45,,,,,,,,recjMVs2GCGvTQajv,,,,,1071,,
"Cal Royal, Hinges, TBH RC-33, US26",,Cal Royal,Hinges,TBH RC-33,US26,Hinge - Non-Standard,,,$6.00,,,,,,,,rec8lxu6tWLdMwq7G,,,,,1072,,
"Cal Royal, Hinges, TBH SC-77, US26",,Cal Royal,Hinges,TBH SC-77,US26,Hinge - Non-Standard,,,$7.06,,,,,,,,recauT74rtyRMHTHS,,,,,1073,,
"Cal Royal, Hinges, RH-35, US26",,Cal Royal,Hinges,RH-35,US26,Hinge - Non-Standard,,,$3.51,,,,,,,,recJeEQnsPPAVo2My,,,,,1074,,
"Hager, Holder, 271D, US26",,Hager,Holder,271D,US26,Kickdown Holder,,,$49.10,,,,,,,,rec4vYg3IRC5LKFiR,,,,,1075,,
"Rockwood, Unspecified, K1050 x 4BE x 10""h(34""w), US26",,Rockwood,Unspecified,"K1050 x 4BE x 10""h(34""w)",US26,Kickplate,,,$261.80,,,,,,,,rec1nBCTc27TpQFS1,,,,,1076,,
"Rockwood, Unspecified, K1050 x 4BE x 6""h(34""w), US26",,Rockwood,Unspecified,"K1050 x 4BE x 6""h(34""w)",US26,Kickplate,,,$138.72,,,,,,,,recnhIEbB1EMsQQhY,,,,,1077,,
"Sargent, Unspecified, DLU15 x E2MD, US26",,Sargent,Unspecified,DLU15 x E2MD,US26,Passage Set (no thru-bolts),,,$329.00,,,,,,,,reciiA7UaP64KjUEJ,,,,,1078,,
"Hager, Unspecified, 3510 x AUGUST x 3947, SC x 3935, US26",,Hager,Unspecified,"3510 x AUGUST x 3947, SC x 3935",US26,Passage Set (with thru-bolts),,,$163.00,,,,,,,,recpY618rUBueEnTE,,,,,1079,,
"Cal Royal, Unspecified, AG30 x ULSLD234 x ASA, US26",,Cal Royal,Unspecified,AG30 x ULSLD234 x ASA,US26,Passage Set (with thru-bolts),,,$95.97,,,,,,,,recT3tT0KuUSWSy1U,,,,,1080,,
"Cal Royal, Unspecified, SL30 x ULSLD234 x ASA, US26",,Cal Royal,Unspecified,SL30 x ULSLD234 x ASA,US26,Passage Set (with thru-bolts),,,$89.48,,,,,,,,recsuCPi6MiVRJmiD,,,,,1081,,
"Rockwood, Unspecified, 890, US26",,Rockwood,Unspecified,890,US26,Pocket Door Hardware,,,$17.20,,,,,,,,rec9VXchwHfXqk0GP,,,,,1083,,
"Rockwood, Unspecified, 891, US26",,Rockwood,Unspecified,891,US26,Pocket Door Hardware,,,$27.80,,,,,,,,recJxM1ASsA79kz0e,,,,,1082,,
"Cal Royal, Unspecified, SG-20 x ULSLD234 x ASA, US26",,Cal Royal,Unspecified,SG-20 x ULSLD234 x ASA,US26,Privacy Set (no thru-bolts),,,$77.57,,,,,,,,recTMIKaw4BZ2JkEi,,,,,1084,,
"Sargent, Unspecified, 28-7U65 x LB, US26",,Sargent,Unspecified,28-7U65 x LB,US26,Privacy Set (no thru-bolts),,,$343.00,,,,,,,,rec4XDHzrk9szJPYm,,,,,1085,,
"Hager, Unspecified, 3540 x AUGUST x 3965, SC x 3935, US26",,Hager,Unspecified,"3540 x AUGUST x 3965, SC x 3935",US26,Privacy Set (with thru-bolts),,,$185.15,,,,,,,,reczqgvGaQ4LVVb5x,,,,,1086,,
"Cal Royal, Unspecified, AG20 x ULSLD234 x ASA, US26",,Cal Royal,Unspecified,AG20 x ULSLD234 x ASA,US26,Privacy Set (with thru-bolts),,,$99.23,,,,,,,,recEGm06yYdSKrbAT,,,,,1087,,
"Cal Royal, Unspecified, CSL20 x ULSLD234 x ASA, US26",,Cal Royal,Unspecified,CSL20 x ULSLD234 x ASA,US26,Privacy Set (with thru-bolts),,,$105.73,,,,,,,,recfbeUyjhs2tseEn,,,,,1088,,
"Cal Royal, Unspecified, RL20 x ULSLD234 x ASA, US26",,Cal Royal,Unspecified,RL20 x ULSLD234 x ASA,US26,Privacy Set (with thru-bolts),,,$99.23,,,,,,,,recy7EXL5Qng0o1h4,,,,,1089,,
"Sargent, Unspecified, 65U65 x KP, US26",,Sargent,Unspecified,65U65 x KP,US26,Privacy Set (with thru-bolts),,,$321.00,,,,,,,,recJYUYCgn63iS8Pa,,,,,1090,,
"Hager, Pull, 34J x 4"" x 16"" Use Pre-configured, US26",,Hager,Pull,"34J x 4"" x 16"" Use Pre-configured",US26,Pull Plate,,,$130.30,,,,,,,,recQt02p7N3E9sIXX,,,,,1091,,
"Rockwood, Pull, 110 X 70C x Type 1, US26",,Rockwood,Pull,110 X 70C x Type 1,US26,Pull Plate,,,$125.00,,,,,,,,rec5Z0sDwZ0yRlti7,,,,,1092,,
"Von Duprin, Exit Device, 9847WDCEO-F x 338 x 385A x 3-0 x 84""h(36""w x 84""h), US26",,Von Duprin,Exit Device,"9847WDCEO-F x 338 x 385A x 3-0 x 84""h(36""w x 84""h)",US26,"Push Pad, CVR MD",,,$3899.00,,,,,,,,recQvYvGtO6GqmFV8,,,,,1093,,
"Hager, Exit Device, 4501 RIM FR 36 x 1-3/4"" x 45BE x WTN, US26",,Hager,Exit Device,"4501 RIM FR 36 x 1-3/4"" x 45BE x WTN",US26,"Push Pad, Rim",,,$1646.75,,,,,,,,recUxQ6syU2BTeYw1,,,,,1094,,
